Exchange Date,Close,Net,%Chg,Open,Low,High,log_return
01-Nov-2024,"5,728.8014",+23.3535,+0.4093%,"5,728.8014","5,728.8014","5,728.8014",0.004084839
31-Oct-2024,"5,705.4479",-108.2218,-1.8615%,"5,705.4479","5,705.4479","5,705.4479",-0.018790499
30-Oct-2024,"5,813.6697",-19.2473,-0.3300%,"5,813.6697","5,813.6697","5,813.6697",-0.003305229
29-Oct-2024,"5,832.9170",+9.3993,+0.1614%,"5,832.9170","5,832.9170","5,832.9170",0.001612723
28-Oct-2024,"5,823.5177",+15.4007,+0.2652%,"5,823.5177","5,823.5177","5,823.5177",0.002648073
25-Oct-2024,"5,808.1170",-1.7422,-0.0300%,"5,808.1170","5,808.1170","5,808.1170",-0.000299915
24-Oct-2024,"5,809.8592",+12.4366,+0.2145%,"5,809.8592","5,809.8592","5,809.8592",0.002142897
23-Oct-2024,"5,797.4226",-53.7798,-0.9191%,"5,797.4226","5,797.4226","5,797.4226",-0.009233739
22-Oct-2024,"5,851.2024",-2.7798,-0.0475%,"5,851.2024","5,851.2024","5,851.2024",-0.000474969
21-Oct-2024,"5,853.9822",-10.6857,-0.1822%,"5,853.9822","5,853.9822","5,853.9822",-0.001823709
18-Oct-2024,"5,864.6679",+23.1955,+0.3971%,"5,864.6679","5,864.6679","5,864.6679",0.003962968
17-Oct-2024,"5,841.4724",-1.0021,-0.0172%,"5,841.4724","5,841.4724","5,841.4724",-0.000171535
16-Oct-2024,"5,842.4745",+27.2146,+0.4680%,"5,842.4745","5,842.4745","5,842.4745",0.004668943
15-Oct-2024,"5,815.2599",-44.5902,-0.7609%,"5,815.2599","5,815.2599","5,815.2599",-0.007638543
14-Oct-2024,"5,859.8501",+44.8167,+0.7707%,"5,859.8501","5,859.8501","5,859.8501",0.007677493
11-Oct-2024,"5,815.0334",+34.9821,+0.6052%,"5,815.0334","5,815.0334","5,815.0334",0.006033972
10-Oct-2024,"5,780.0513",-11.9902,-0.2070%,"5,780.0513","5,780.0513","5,780.0513",-0.002072262
09-Oct-2024,"5,792.0415",+40.9086,+0.7113%,"5,792.0415","5,792.0415","5,792.0415",0.007087959
